10K	ten k
1D	one d
1G	one g
1K	one k
2.5G	two point five g
2D	two d
2G	two g
2K	two k
3D	three d
3G	three g
4D	four d
4G	four g
4K	four k
5D	five d
5G	five g
6G	six g
7-eleven	seven eleven
7G	seven g
8K	eight k
AAA	triple a
AC	a c
ACL	a c l
ADAS	a das
AEB	a e b
AES	a e s
AGX	a g x
AI	a i
AI	ai
AI	ais
ALU	a l u
AMD	a m d
API	a p i
API	api
ARP	a r p
ASAP	a s a p
ASAP	a sap
ASMC	a s m c
ASR	a s r
ASUS	a sus
ASUS	asus
AT&T	a t and t
ATM	a t m
AV1	a v one
AV1	av one
AVAS	a v a s
AVAS	a vas
AVRCP	a v r c p
AWS	a w s
AWS	aws
AlphaFold	alpha fold
AstraZeneca	astra zeneca
AstraZeneca	astrazeneca
Audio2Face	audio to face
Audio2Face	audio too face
BBC	b b c
BCP	b c p
BEV	b e v
BGA	b g a
BGP	b g p
BIOS	Bios
BIOS	bios
BIS	b i s
BSP	b s p
BasePOD	base pod
BasePOD	basepod
Billion-X	billion X
C#	c sharp
C++	c plus plus
CAT5	cat five
CAT5e	cat five e
CAT6	cat six
CAT6A	cat six a
CAT7	cat seven
CAT8	cat eight
CBC	c b c
CCS	c c s
CCTV	c c t v
CCTV	c c tv
CDN	c d n
CEO	c e o
CES	c e s
CFO	c f o
CHAdeMO	cha demo
CHAdeMO	chai demo
CLI	c l i
CMO	c m o
CMS	c m s
CNN	c n n
COVID	covid
COVID-19	covid nineteen
CPU	c p u
CSO	c s o
CSP	c s p
CSS	c s s
CV	c v
CVT	c v t
CalTech	cal tech
CalTech	caltech
CapEx	cap ex
CapEx	capex
ChatGPT	chat g p t
CloudXR	cloud x r
ConnectX	connect x
Core 2	core two
DALI	d a l i
DB	d b
DC	d c
DCDB	d c d b
DDR	d d r
DDoS	d d o s
DDoS	d dos
DGL	d g l
DGX	d g x	-1.1
DGX A100	d g x a hundred	-1.1
DGX A100	d g x a one hundred	-1.1
DGX Station	d g x station	-1.1
DHCP	d h c p
DLSS	d l s s
DLSS 2	d l s s two
DLSS 3	d l s s three
DNA	d n a
DNN	d n n
DNS	d n s
DOS	dos
DP	d p
DPDT	d p d t
DPU	d p u
DPX	d p x
DeepMind	deep mind
DeepMind	deepmind
DeepStream	deep stream
DeepStream	deepstream
DevOps	dev ops
Direct3D	direct three d
DisplayPort	display port
EBC	e b c
EBS	e b s
EC2	e c two
ECC	e c c
ECS	e c s
EFS	e f s
EGX	e g x
EKS	e k s
ELB	e l b
ELCB	e l c b
EMR	e m r
EOL	e o l
EV	e v
Earth-2	earth two
FAT12	fat twelve
FAT16	fat sixteen
FAT32	fat thirty two
FIFO	fee foe
FIFO	fifo
FOMO	foe moe
FOMO	fomo
FPS	f p s
FSA	f s a
FST	f s t
FTP	f t p
FTPS	f t p s
FX	f x
G-SYNC	g sync
GCC	g c c
GCP	g c p
GCS	g c s
GFN	G f n
GPL	G P L
GPLv2	G P L two
GPLv3	G P L three
GPU	g p u
GRPC	g r p c
GRU	g r u
GSK	g s k
GTC	g t c
GTX	g t x	-1.1
GUI	g u i
GUI	gui
GeForce	geforce
GeForce NOW	geforce now
H.264	H two six four
H.264	H two sixty four
H.265	H two six five
H.265	H two sixty five
H100	H one hundred
HDMI	h d m i
HEVC	h e v c
HFS	h f s
HFS+	h f s plus
HGX	h g x
HMD	Hmd
HPC	h p c
HQ	h q
HSM	h s m
HT	h t
HTML	h t m l
HTTP	h t t p
HTTPS	h t t p s
HuggingFace	hugging face
I/O	i o
ICMP	i c m p
IEC	i e c
IEEE	i triple e
IGMP	i g m p
IGX	i g x
IISc	i i s c
IIT	i i t
INT8	int eight
IP	i p
IPSec	i p sec
ISC	i s c
ISI	i s i
