丟	丢
並	并
乗	乘
乹	乾
亁	乾
亂	乱
亙	亘
亞	亚
亯	享
亱	夜
亷	廉
亾	亡
伕	夫
佀	似
佇	伫
佈	布
佔	占
併	并
來	来
侖	仑
侶	侣
侷	局
俁	俣
係	系
俛	俯
俠	侠
倀	伥
倆	俩
倉	仓
個	个
倐	倏
們	们
倖	幸
倣	仿
倫	伦
倸	睬
偉	伟
偘	侃
偪	逼
側	侧
偵	侦
偸	偷
偺	咱
偽	伪
傑	杰
傖	伧
傘	伞
備	备
傚	效
傢	家
傭	佣
傯	偬
傳	传
傴	伛
債	债
傷	伤
傾	倾
僂	偻
僅	仅
僉	佥
僊	仙
僑	侨
僕	仆
僞	伪
僥	侥
僨	偾
僱	雇
價	价
儀	仪
儁	俊
儂	侬
億	亿
儅	当
儈	侩
儉	俭
儐	傧
儔	俦
儕	侪
儘	尽
償	偿
優	优
儲	储
儵	倏
儷	俪
儸	罗
儹	攒
儺	傩
儻	傥
儼	俨
兇	凶
兌	兑
兎	兔
兒	儿
兗	兖
兠	兜
內	内
兩	两
冄	冉
冊	册
冐	冒
冪	幂
冺	泯
凃	涂
凍	冻
凜	凛
凟	渎
凣	凡
処	处
凱	凯
凴	凭
別	别
刦	劫
刧	劫
刪	删
刼	劫
剄	刭
則	则
剋	克
剛	刚
剝	剥
剮	剐
剳	札
剴	剀
創	创
剷	铲
剹	戮
劃	划
劄	札
劇	剧
劉	刘
劊	刽
劌	刿
劍	剑
劑	剂
劒	剑
効	效
勁	劲
勅	敕
勌	倦
動	动
勗	勖
務	务
勛	勋
勝	胜
勞	劳
勢	势
勣	绩
勦	剿
勱	劢
勳	勋
勵	励
勸	劝
勻	匀
匃	丐
匄	丐
匟	炕
匭	匦
匯	汇
匱	匮
匲	奁
匳	奁
匵	椟
區	区
協	协
卹	恤
卻	却
厀	膝
厙	厍
厛	厅
厠	厕
厤	历
厭	厌
厰	厂
厲	厉
厴	厣
參	参
叡	睿
叢	丛
吚	咿
吳	吴
呂	吕
呌	叫
呪	咒
咊	和
咼	呙
員	员
哢	咔
哶	咩
唄	呗
唕	唣
唚	吣
唫	吟
唸	念
啎	忤
問	问
啑	喋
啓	启
啗	啖
啞	哑
啟	启
啣	衔
喆	哲
喒	咱
喚	唤
喦	岩
喪	丧
喫	吃
喬	乔
單	单
喲	哟
嗁	啼
嗆	呛
嗇	啬
嗎	吗
嗚	呜
嗩	唢
嗶	哔
嘅	慨
嘆	叹
