Hon.	honorable
Mt.	Mount
Maj.	Major
Rev.	Reverend
#	hash
Gov.	governor
vs.	versus
vs	versus
dept.	department
vol	volume
vol.	volume
bldg.	building
Bldg.	Building
apt.	apartment
Apt.	Apartment
Σ	sigma
η	eta
κ	kappa
ω	omega
σ	sigma
α	alpha
ν	nu
δ	delta
ι	iota
_	underscore
%	percent
&	ampersand
*	asterisk
+	plus
/	slash
=	equal sign
^	circumflex
{	left brace
|	vertical bar
}	right brace
~	tilde
ltd	limited
int'l	international
$	dollar
BMW M	b m w
Capt.	captain
Co.	company
Col.	colonel
Dr.	doctor
Drs.	doctors
e.g.	for example
e. g.	for example
ES3	e s three
Esq.	esquire
F.I	f
FNU	f n u d s a
Ft.	Fort
Gen.	general
i.e.	that is
Jr.	junior
jr.	junior
Jr	junior
jr	junior
Ltd.	limited
Lt.	lieutenant
Mr.	mister
Mrs.	misses
Ms.	miss
Sgt.	sergeant
S&P 500	s and p five hundred
Uéda	u e acute d a
USMC M	u s m c
vs.	versus
_vs._	versus
VTE	v t eL
XVAS	x v a
