ABC
Hon.	honorable
Mt.	Mount
Maj.	Major
Rev.	Reverend
Gov.	governor
vs.	versus
vs	versus
dept.	department
vol	volume
vol.	volume
bldg.	building
Bldg.	Building
apt.	apartment
Apt.	Apartment
Σ	sigma
η	eta
κ	kappa
ω	omega
σ	sigma
α	alpha
ν	nu
δ	delta
ι	iota
ltd	limited
int'l	international
A. A.	a a
A.D.A.M.	adam
Capt.	captain
Co.	company
Col.	colonel
D.A.N.C.E.	dance
Dr.	doctor
Drs.	doctors
Esq.	esquire
Ft.	Fort
Gen.	general
Jr.	junior
jr.	junior
Jr	junior
jr	junior
Ltd.	limited
Lt.	lieutenant
Mr.	mister
Mrs.	misses
Ms.	miss
Sgt.	sergeant
vs.	versus
_vs._	versus
